index,name,r,g,b,a
121,ctx_rh_G_temp_sup-G_T_transv,60,60,220,0
122,ctx_rh_G_temp_sup-Lateral,220,60,220,0
123,ctx_rh_G_temp_sup-Plan_polar,65,220,60,0
124,ctx_rh_G_temp_sup-Plan_tempo,25,140,20,0
125,ctx_rh_G_temporal_inf,220,220,100,0
126,ctx_rh_G_temporal_middle,180,60,60,0
127,ctx_rh_Lat_Fis-ant-Horizont,61,20,220,0
128,ctx_rh_Lat_Fis-ant-Vertical,61,20,60,0
129,ctx_rh_Lat_Fis-post,61,60,100,0
130,ctx_rh_Pole_occipital,140,20,60,0
131,ctx_rh_Pole_temporal,220,180,20,0
132,ctx_rh_S_calcarine,63,180,180,0
133,ctx_rh_S_central,221,20,10,0
134,ctx_rh_S_cingul-Marginalis,221,20,100,0
135,ctx_rh_S_circular_insula_ant,221,60,140,0
136,ctx_rh_S_circular_insula_inf,221,20,220,0
137,ctx_rh_S_circular_insula_sup,61,220,220,0
138,ctx_rh_S_collat_transv_ant,100,200,200,0
139,ctx_rh_S_collat_transv_post,10,200,200,0
140,ctx_rh_S_front_inf,221,220,20,0
141,ctx_rh_S_front_middle,141,20,100,0
142,ctx_rh_S_front_sup,61,220,100,0
143,ctx_rh_S_interm_prim-Jensen,141,60,20,0
144,ctx_rh_S_intrapariet_and_P_trans,143,20,220,0
145,ctx_rh_S_oc_middle_and_Lunatus,101,60,220,0
146,ctx_rh_S_oc_sup_and_transversal,21,20,140,0
147,ctx_rh_S_occipital_ant,61,20,180,0
148,ctx_rh_S_oc-temp_lat,221,140,20,0
149,ctx_rh_S_oc-temp_med_and_Lingual,141,100,220,0
150,ctx_rh_S_orbital_lateral,221,100,20,0
151,ctx_rh_S_orbital_med-olfact,181,200,20,0
152,ctx_rh_S_orbital-H_Shaped,101,20,20,0
153,ctx_rh_S_parieto_occipital,101,100,180,0
154,ctx_rh_S_pericallosal,181,220,20,0
155,ctx_rh_S_postcentral,21,140,200,0
156,ctx_rh_S_precentral-inf-part,21,20,240,0
157,ctx_rh_S_precentral-sup-part,21,20,200,0
158,ctx_rh_S_suborbital,21,20,60,0
159,ctx_rh_S_subparietal,101,60,60,0
160,ctx_rh_S_temporal_inf,21,180,180,0
161,ctx_rh_S_temporal_sup,223,220,60,0
162,ctx_rh_S_temporal_transverse,221,60,60,0
